標準ラベル（日本語）,標準ラベル（日本語）変更後
売買目的有価証券及び1年内に満期の到来する有価証券,売買目的有価証券及び有価証券
その他の資産で1年内に現金化できると認められるもの,その他の資産
1年内回収予定の長期貸付金,長期貸付金
1年内回収予定の関係会社長期貸付金,関係会社長期貸付金
1年内回収予定の差入保証金,差入保証金
1年内返還予定の預り保証金,預り保証金
その他の負債で1年内に支払又は返済されると認められるもの,その他の負債
1年内返済予定の長期借入金,長期借入金
1年内返済予定の関係会社長期借入金,関係会社長期借入金
1年内償還予定の転換社債,転換社債
1年内償還予定の新株予約権付社債,新株予約権付社債
1年内期限到来予定のその他の固定負債,その他の固定負債
1年内償還予定の社債,社債
1年内に支払う鉄道施設購入長期未払金,鉄道施設購入長期未払金
1年内返済予定の長期借入金,長期借入金
1年内償還予定の社債,社債
1年以内に期限到来の固定負債,固定負債
1年以内に期限到来の関係会社長期借入金,関係会社長期借入金
1年以内償還予定特定社債,特定社債
1年以内返済予定特定借入れ,特定借入れ
1年内償還予定の投資法人債,投資法人債
1年内支払予定の債権流動化に伴う長期支払債務,債権流動化に伴う長期支払債務